ABS,QC,QCOA,QCCALB,OACALB,S1,S2
1947.53402,0.002515,-0.002523,-0.01006,-0.011212,-0.011643,-0.012614
1949.397689,0.00408,-0.002584,-0.008112,-0.010655,-0.011461,-0.012437
1951.261358,0.005579,-0.001322,-0.006739,-0.010747,-0.010728,-0.011254
1953.125027,0.002076,-0.003491,-0.011064,-0.014525,-0.013791,-0.014304
1954.988696,-0.001052,-0.005995,-0.013878,-0.016982,-0.016788,-0.018305
1956.852365,0.000112,-0.00711,-0.014049,-0.018138,-0.019014,-0.01996
1958.716033,0.002613,-0.005117,-0.009808,-0.014182,-0.015284,-0.015209
1960.579702,0.001271,-0.007481,-0.01186,-0.013769,-0.015253,-0.01524
1962.443371,-0.000708,-0.009091,-0.016308,-0.014711,-0.016592,-0.017145
1964.30704,-0.000773,-0.010421,-0.017609,-0.016686,-0.017653,-0.019719
1966.170709,0.000123,-0.008838,-0.014329,-0.015679,-0.014599,-0.015834
1968.034378,-0.00457,-0.011472,-0.017274,-0.019482,-0.018469,-0.019326
1969.898047,-0.008006,-0.013821,-0.021101,-0.02393,-0.023092,-0.024047
1971.761716,-0.007872,-0.012105,-0.022513,-0.023775,-0.024244,-0.024511
1973.625385,-0.006086,-0.013116,-0.022504,-0.021595,-0.022374,-0.021861
1975.489054,-0.00331,-0.012921,-0.020915,-0.021801,-0.021003,-0.020601
1977.352723,-0.001154,-0.009718,-0.014417,-0.018897,-0.019291,-0.018978
1979.216392,-0.000836,-0.009743,-0.012414,-0.016856,-0.019958,-0.020384
1981.08006,-0.001484,-0.010295,-0.014731,-0.016209,-0.018397,-0.019217
1982.943729,-0.00063,-0.007396,-0.014651,-0.015986,-0.016914,-0.018088
1984.807398,0.003141,-0.001775,-0.01036,-0.012568,-0.013847,-0.013293
1986.671067,0.007434,0.000516,-0.009471,-0.009618,-0.012384,-0.01179
1988.534736,0.005363,-0.001387,-0.010572,-0.010042,-0.011569,-0.013435
1990.398405,0.002753,-0.005079,-0.013924,-0.013365,-0.014601,-0.015482
1992.262074,0.004364,-0.004781,-0.012762,-0.012457,-0.011938,-0.012601
1994.125743,0.003132,-0.005178,-0.012208,-0.014005,-0.012626,-0.013978
1995.989412,0.00057,-0.005431,-0.013008,-0.016156,-0.014581,-0.016655
1997.853081,-0.003335,-0.009021,-0.017336,-0.019688,-0.017792,-0.021149
1999.71675,-0.002345,-0.008543,-0.017339,-0.017424,-0.017793,-0.018669
2001.580419,0.001189,-0.005429,-0.015459,-0.013724,-0.016425,-0.01599
2003.444088,0.004675,-0.002548,-0.011546,-0.010765,-0.012242,-0.012737
2005.307756,-0.003466,-0.010795,-0.016976,-0.017876,-0.018911,-0.018344
2007.171425,-0.006853,-0.014869,-0.022043,-0.020498,-0.021655,-0.021529
2009.035094,-0.005151,-0.013455,-0.022668,-0.021327,-0.022613,-0.022002
2010.898763,-0.005727,-0.013022,-0.020807,-0.021633,-0.020814,-0.022466
2012.762432,-0.005795,-0.013323,-0.02119,-0.022534,-0.020207,-0.024736
2014.626101,-0.004685,-0.011561,-0.021107,-0.022037,-0.020251,-0.022977
2016.48977,-0.004929,-0.011812,-0.02379,-0.024116,-0.023145,-0.024172
2018.353439,-0.004405,-0.012089,-0.023804,-0.022799,-0.023942,-0.024156
2020.217108,0.001603,-0.009174,-0.016826,-0.017385,-0.02026,-0.019195
2022.080777,0.002217,-0.008135,-0.013303,-0.015854,-0.019033,-0.017537
2023.944446,-0.001183,-0.009774,-0.016986,-0.019134,-0.021684,-0.02209
2025.808115,0.000183,-0.007601,-0.016251,-0.017647,-0.018982,-0.020098
2027.671783,0.001579,-0.005194,-0.013075,-0.016351,-0.016341,-0.016208
2029.535452,0.001192,-0.004007,-0.011414,-0.014694,-0.01487,-0.014276
2031.399121,-0.001816,-0.009445,-0.017736,-0.018723,-0.019046,-0.0204
2033.26279,-0.001962,-0.01233,-0.018925,-0.02015,-0.01858,-0.022365
2035.126459,0.001851,-0.008039,-0.01566,-0.018122,-0.015722,-0.018523
2036.990128,0.004076,-0.00396,-0.012949,-0.01463,-0.014091,-0.014585
2038.853797,0.002854,-0.004482,-0.013021,-0.015069,-0.016489,-0.017115
2040.717466,0.003747,-0.002387,-0.010478,-0.012947,-0.014552,-0.015954
2042.581135,0.003554,-0.003542,-0.013277,-0.012837,-0.01498,-0.015128
2044.444804,0.001512,-0.006326,-0.014413,-0.014468,-0.015962,-0.015061
2046.308473,0.000397,-0.008001,-0.014885,-0.016977,-0.017773,-0.017214
2048.172142,0.003319,-0.005613,-0.013706,-0.015938,-0.016637,-0.017543
2050.03581,0.001695,-0.008275,-0.016406,-0.017954,-0.018933,-0.020593
2051.899479,0.000279,-0.009689,-0.017659,-0.018035,-0.020076,-0.021205
2053.763148,0.000792,-0.008764,-0.018031,-0.018788,-0.02169,-0.022607
2055.626817,0.000584,-0.007832,-0.015971,-0.019123,-0.020407,-0.022017
2057.490486,-0.003534,-0.010915,-0.018066,-0.021348,-0.022389,-0.024801
2059.354155,-0.005456,-0.012631,-0.020899,-0.021607,-0.024469,-0.026303
2061.217824,-0.001882,-0.009094,-0.018344,-0.01875,-0.021781,-0.023438
2063.081493,0.001785,-0.007102,-0.016633,-0.017321,-0.019562,-0.020622
2064.945162,0.002954,-0.007144,-0.01729,-0.017933,-0.02025,-0.019832
2066.808831,0.001875,-0.007376,-0.016842,-0.017708,-0.019414,-0.019625
2068.6725,-0.000816,-0.007952,-0.017894,-0.018654,-0.019819,-0.021245
2070.536169,0.000758,-0.005594,-0.0154,-0.017171,-0.01801,-0.019515
2072.399837,0.004942,-0.002047,-0.010986,-0.014355,-0.0144,-0.016068
2074.263506,0.005614,-0.001892,-0.01045,-0.013397,-0.014057,-0.015951
2076.127175,0.004406,-0.004558,-0.013987,-0.014538,-0.015986,-0.018402
2077.990844,0.002561,-0.005664,-0.015285,-0.015445,-0.017542,-0.018801
2079.854513,0.002217,-0.003266,-0.013965,-0.015166,-0.017277,-0.017652
2081.718182,0.005081,-0.000598,-0.010836,-0.012966,-0.014787,-0.015549
2083.581851,0.00426,-0.002942,-0.012428,-0.015001,-0.015976,-0.017132
2085.44552,0.0017,-0.006664,-0.01588,-0.017599,-0.018498,-0.019408
2087.309189,0.000576,-0.008148,-0.017435,-0.018542,-0.020112,-0.020726
2089.172858,-0.000063,-0.007044,-0.016394,-0.018523,-0.019774,-0.020882
2091.036527,-0.001435,-0.008109,-0.01727,-0.019865,-0.020741,-0.022602
2092.900196,-0.001374,-0.008043,-0.017602,-0.019164,-0.020357,-0.022097
2094.763865,-0.002623,-0.009141,-0.01878,-0.020252,-0.021513,-0.023118
2096.627533,-0.000347,-0.008536,-0.019083,-0.019777,-0.021061,-0.022436
2098.491202,0.00236,-0.006625,-0.01746,-0.019052,-0.020024,-0.020939
2100.354871,0.001028,-0.006214,-0.01609,-0.017945,-0.019341,-0.020997
2102.21854,-0.000257,-0.006948,-0.016969,-0.017821,-0.020064,-0.022188
2104.082209,0.00005,-0.007451,-0.018142,-0.019014,-0.020677,-0.022357
2105.945878,0.002179,-0.006442,-0.016663,-0.018421,-0.019263,-0.020851
2107.809547,0.003137,-0.004163,-0.014228,-0.016739,-0.017324,-0.019186
2109.673216,0.001541,-0.00445,-0.014948,-0.017316,-0.018232,-0.020085
2111.536885,0.000619,-0.00563,-0.015406,-0.016833,-0.018259,-0.019257
2113.400554,0.001735,-0.005932,-0.015219,-0.016644,-0.017702,-0.018782
2115.264223,0.00322,-0.005547,-0.014675,-0.016249,-0.017458,-0.018744
2117.127892,0.003216,-0.005026,-0.013523,-0.015519,-0.017009,-0.018789
2118.99156,0.002291,-0.004939,-0.014063,-0.016308,-0.017003,-0.019225
2120.855229,0.002499,-0.005019,-0.016462,-0.017129,-0.017829,-0.019608
2122.718898,0.003009,-0.004141,-0.016026,-0.01614,-0.017611,-0.018932
2124.582567,0.002645,-0.004623,-0.01493,-0.01613,-0.018082,-0.019168
2126.446236,0.002053,-0.005138,-0.013999,-0.015828,-0.017071,-0.019013
2128.309905,0.001697,-0.00535,-0.014231,-0.015635,-0.017259,-0.019566
2130.173574,0.00281,-0.004472,-0.013551,-0.014554,-0.017368,-0.01851
2132.037243,0.001673,-0.005856,-0.014853,-0.016436,-0.018723,-0.019584
2133.900912,0.003077,-0.005977,-0.01446,-0.016233,-0.018043,-0.0196
2135.764581,0.001585,-0.009108,-0.017236,-0.019636,-0.020373,-0.022074
2137.62825,-0.000546,-0.009183,-0.017366,-0.020486,-0.019784,-0.021484
2139.491919,-0.004227,-0.011423,-0.020555,-0.022558,-0.023045,-0.023896
2141.355587,-0.004561,-0.010827,-0.021399,-0.022625,-0.024622,-0.024484
2143.219256,-0.001693,-0.008644,-0.018112,-0.021626,-0.022097,-0.022784
2145.082925,-0.000794,-0.009227,-0.016471,-0.020017,-0.020621,-0.020584
2146.946594,-0.000408,-0.010541,-0.019373,-0.019638,-0.020136,-0.020582
2148.810263,-0.00117,-0.013829,-0.022088,-0.021609,-0.021259,-0.023547
2150.673932,-0.000226,-0.012259,-0.020769,-0.021579,-0.021429,-0.024056
2152.537601,0.00224,-0.007612,-0.01501,-0.017137,-0.017487,-0.019489
2154.40127,0.005258,-0.006813,-0.013186,-0.014759,-0.017146,-0.01656
2156.264939,0.003012,-0.009312,-0.017238,-0.015923,-0.019469,-0.018348
2158.128608,-0.002688,-0.012818,-0.022246,-0.019377,-0.023624,-0.024191
2159.992277,0.005583,-0.007195,-0.010949,-0.014199,-0.016662,-0.015434
2161.855946,0.008448,-0.002416,-0.009345,-0.014436,-0.013727,-0.012953
2163.719615,0.005354,-0.003424,-0.014084,-0.01521,-0.013895,-0.017343
2165.583283,0.005614,-0.004012,-0.016301,-0.016054,-0.014108,-0.01817
2167.446952,0.003197,-0.004706,-0.016401,-0.017656,-0.015803,-0.01697
2169.310621,0.004987,-0.002904,-0.011826,-0.014712,-0.01446,-0.014189
2171.17429,0.004346,-0.00519,-0.012866,-0.013924,-0.01588,-0.015183
2173.037959,-0.002315,-0.01057,-0.019384,-0.02082,-0.022884,-0.021418
2174.901628,-0.002963,-0.009411,-0.018727,-0.022685,-0.023112,-0.022935
2176.765297,-0.003742,-0.011177,-0.019585,-0.024996,-0.02439,-0.025379
2178.628966,-0.004334,-0.012213,-0.020586,-0.023687,-0.023042,-0.025361
2180.492635,-0.005154,-0.014697,-0.023751,-0.024854,-0.025054,-0.026447
2182.356304,-0.003013,-0.014234,-0.024166,-0.024243,-0.026391,-0.025804
2184.219973,-0.00218,-0.015568,-0.023297,-0.023688,-0.026998,-0.026723
2186.083642,-0.002373,-0.013528,-0.020467,-0.02275,-0.024371,-0.025224
2187.94731,-0.003357,-0.012276,-0.02095,-0.022881,-0.023525,-0.024388
2189.810979,-0.003133,-0.012832,-0.02322,-0.022478,-0.024225,-0.024792
2191.674648,-0.000884,-0.010294,-0.021086,-0.020572,-0.022498,-0.023181
2193.538317,-0.002936,-0.010415,-0.019661,-0.021511,-0.023484,-0.023173
2195.401986,-0.001724,-0.01032,-0.01796,-0.021114,-0.022967,-0.023054
2197.265655,0.002125,-0.009361,-0.016204,-0.018623,-0.021434,-0.021362
2199.129324,0.002665,-0.008047,-0.01699,-0.019159,-0.020679,-0.02006
2200.992993,0.004233,-0.004836,-0.014799,-0.017551,-0.016056,-0.01645
2202.856662,0.004786,-0.005068,-0.012814,-0.014961,-0.014813,-0.015943
2204.720331,0.004742,-0.004552,-0.012561,-0.014579,-0.01607,-0.018565
2206.584,0.005524,-0.002677,-0.013172,-0.014612,-0.015838,-0.019717
2208.447669,0.004553,-0.004086,-0.014958,-0.01543,-0.016633,-0.020118
2210.311337,0.003624,-0.005439,-0.016462,-0.016673,-0.017951,-0.020142
2212.175006,0.004911,-0.005145,-0.01459,-0.015822,-0.01687,-0.018396
2214.038675,0.00298,-0.00733,-0.014936,-0.017117,-0.018615,-0.019813
2215.902344,0.002394,-0.007749,-0.016452,-0.018455,-0.019472,-0.020639
2217.766013,-0.000631,-0.009663,-0.020717,-0.022211,-0.022177,-0.023459
2219.629682,-0.001901,-0.010214,-0.021583,-0.022838,-0.023796,-0.024917
2221.493351,-0.003416,-0.010962,-0.021678,-0.023708,-0.025355,-0.026282
2223.35702,-0.002502,-0.009588,-0.019905,-0.023167,-0.024109,-0.025059
2225.220689,-0.002156,-0.010518,-0.021027,-0.023821,-0.024082,-0.025335
2227.084358,-0.001048,-0.010658,-0.022508,-0.023338,-0.023402,-0.024262
2228.948027,-0.001666,-0.009623,-0.022575,-0.022809,-0.023442,-0.023928
2230.811696,0.000825,-0.00737,-0.018242,-0.019956,-0.021366,-0.022081
2232.675364,0.003137,-0.007029,-0.016289,-0.018518,-0.020794,-0.021224
2234.539033,0.000695,-0.009205,-0.019034,-0.020952,-0.022676,-0.023081
2236.402702,0.000747,-0.008408,-0.018486,-0.019936,-0.021402,-0.022868
2238.266371,0.002486,-0.005756,-0.016083,-0.017639,-0.018848,-0.021315
2240.13004,0.002954,-0.004954,-0.015321,-0.017904,-0.018198,-0.020366
2241.993709,0.002113,-0.005709,-0.016534,-0.019387,-0.020328,-0.021286
2243.857378,0.00091,-0.006123,-0.018503,-0.020508,-0.021823,-0.022898
2245.721047,0.001791,-0.004907,-0.017704,-0.01904,-0.020418,-0.021605
2247.584716,0.003181,-0.003503,-0.015027,-0.016824,-0.019601,-0.019128
2249.448385,0.004159,-0.002729,-0.013751,-0.015755,-0.018764,-0.018127
2251.312054,0.004576,-0.003633,-0.016031,-0.01661,-0.018115,-0.019256
2253.175723,0.003801,-0.005626,-0.018349,-0.017213,-0.019188,-0.021252
2255.039392,0.003024,-0.005287,-0.017978,-0.017102,-0.020206,-0.021597
2256.90306,0.003287,-0.003587,-0.015794,-0.017079,-0.019459,-0.020304
2258.766729,0.001982,-0.005651,-0.017376,-0.018757,-0.020371,-0.021953
2260.630398,0.001959,-0.00631,-0.019337,-0.019096,-0.020099,-0.022841
2262.494067,0.002143,-0.005686,-0.019257,-0.019627,-0.019906,-0.022664
2264.357736,0.002787,-0.004432,-0.017388,-0.018961,-0.020114,-0.020882
2266.221405,0.001502,-0.005466,-0.018824,-0.020578,-0.022195,-0.022296
2268.085074,0.000276,-0.006914,-0.020641,-0.021696,-0.022983,-0.024103
2269.948743,-0.000665,-0.008445,-0.021511,-0.022377,-0.023863,-0.025352
2271.812412,-0.000284,-0.007782,-0.020254,-0.021423,-0.023301,-0.024485
2273.676081,0.000407,-0.006622,-0.019148,-0.0203,-0.022674,-0.02317
2275.53975,0.001197,-0.006085,-0.018508,-0.019495,-0.02218,-0.02273
2277.403419,0.0009,-0.00644,-0.018574,-0.019372,-0.021925,-0.02351
2279.267087,0.001273,-0.006108,-0.018615,-0.018871,-0.021019,-0.023269
2281.130756,0.002542,-0.004873,-0.017959,-0.018475,-0.020316,-0.022556
2282.994425,0.003229,-0.00375,-0.017121,-0.018134,-0.020009,-0.021668
2284.858094,0.003627,-0.003688,-0.017,-0.017775,-0.020148,-0.021194
2286.721763,0.003212,-0.003484,-0.01737,-0.017433,-0.02005,-0.021132
2288.585432,0.002712,-0.003598,-0.017642,-0.01765,-0.019792,-0.021364
