ABS,144hQC,144hQCOA
1146.156385,0.011083,0.022144
1148.020054,0.008858,0.021401
1149.883723,0.009085,0.02191
1151.747392,0.011483,0.023869
1153.611061,0.014207,0.025792
1155.47473,0.017731,0.028226
1157.338398,0.021933,0.031341
1159.202067,0.02662,0.034871
1161.065736,0.0313,0.038304
1162.929405,0.035501,0.04176
1164.793074,0.038745,0.045193
1166.656743,0.040179,0.048209
1168.520412,0.038879,0.050403
1170.384081,0.035082,0.051467
1172.24775,0.030214,0.051421
1174.111419,0.024297,0.049113
1175.975088,0.01816,0.044768
1177.838757,0.01374,0.04079
1179.702425,0.011138,0.038289
1181.566094,0.010298,0.037663
1183.429763,0.010223,0.037959
1185.293432,0.010542,0.038737
1187.157101,0.011246,0.039806
1189.02077,0.01208,0.041095
1190.884439,0.012996,0.042813
1192.748108,0.014214,0.044691
1194.611777,0.015638,0.046648
1196.475446,0.01742,0.049189
1198.339115,0.019357,0.052239
1200.202784,0.02078,0.055484
1202.066453,0.021379,0.058553
1203.930121,0.022822,0.062755
1205.79379,0.0248,0.067496
1207.657459,0.026612,0.071746
1209.521128,0.028292,0.075378
1211.384797,0.029259,0.077657
1213.248466,0.028791,0.078155
1215.112135,0.027004,0.077269
1216.975804,0.025164,0.076129
1218.839473,0.023809,0.075395
1220.703142,0.022469,0.074524
1222.566811,0.022109,0.074328
1224.43048,0.022013,0.074275
1226.294148,0.021566,0.073599
1228.157817,0.020951,0.0726
1230.021486,0.021028,0.072304
1231.885155,0.021743,0.072481
1233.748824,0.023163,0.073466
1235.612493,0.02528,0.075473
1237.476162,0.028227,0.078487
1239.339831,0.031838,0.082228
1241.2035,0.035828,0.086461
1243.067169,0.039413,0.090379
1244.930838,0.042066,0.093441
1246.794507,0.04192,0.094419
1248.658175,0.039649,0.093757
1250.521844,0.035703,0.091307
1252.385513,0.029933,0.086988
1254.249182,0.024032,0.08209
1256.112851,0.019071,0.077356
1257.97652,0.016468,0.074797
1259.840189,0.015317,0.074009
1261.703858,0.014026,0.073131
1263.567527,0.013177,0.072356
1265.431196,0.013482,0.072853
1267.294865,0.014538,0.074739
1269.158534,0.015574,0.07713
1271.022202,0.015977,0.079522
1272.885871,0.014558,0.080975
1274.74954,0.013565,0.083385
1276.613209,0.014115,0.08741
1278.476878,0.015199,0.091852
